name,state,acronym,short_name
Alabama A & M University,AL,AMU,AMU
University of Alabama at Birmingham,AL,UAB,UAB
Amridge University,AL,AU,AU
University of Alabama in Huntsville,AL,UAH,UAH
Alabama State University,AL,ASU,ASU
The University of Alabama,AL,UA,UA
Central Alabama Community College,AL,CACC,CACC
Athens State University,AL,ASU,ASU
Auburn University at Montgomery,AL,AUM,AUM
Auburn University,AL,AU,AU
Chattahoochee Valley Community College,AL,CVCC,CVCC
South University-Montgomery,AL,SUM,SUM
Enterprise State Community College,AL,ESCC,ESCC
Coastal Alabama Community College,AL,CACC,CACC
Faulkner University,AL,FU,FU
Gadsden State Community College,AL,GSCC,GSCC
New Beginning College of Cosmetology,AL,NBCC,NBCC
George C Wallace Community College-Dothan,AL,GCWCCD,GCWCCD
George C Wallace State Community College-Hanceville,AL,GCWSCCH,GCWSCCH
George C Wallace State Community College-Selma,AL,GCWSCCS,GCWSCCS
Herzing University-Birmingham,AL,HUB,HUB
Huntingdon College,AL,HC,HC
Heritage Christian University,AL,HCU,HCU
J. F. Drake State Community and Technical College,AL,JFDSCTC,JFDSCTC
J F Ingram State Technical College,AL,JFISTC,JFISTC
Jacksonville State University,AL,JSU,JSU
Jefferson State Community College,AL,JSCC,JSCC
John C Calhoun State Community College,AL,JCCSCC,JCCSCC
Lawson State Community College,AL,LSCC,LSCC
University of West Alabama,AL,UWA,UWA
Lurleen B Wallace Community College,AL,LBWCC,LBWCC
Marion Military Institute,AL,MMI,MMI
Miles College,AL,MC,MC
University of Mobile,AL,UM,UM
University of Montevallo,AL,UM,UM
Northwest Shoals Community College,AL,NSCC,NSCC
University of North Alabama,AL,UNA,UNA
Northeast Alabama Community College,AL,NACC,NACC
Oakwood University,AL,OU,OU
Reid State Technical College,AL,RSTC,RSTC
Bishop State Community College,AL,BSCC,BSCC
Samford University,AL,SU,SU
Selma University,AL,SU,SU
Shelton State Community College,AL,SSCC,SSCC
Snead State Community College,AL,SSCC,SSCC
University of South Alabama,AL,USA,USA
Spring Hill College,AL,SHC,SHC
Stillman College,AL,SC,SC
Talladega College,AL,TC,TC
H Councill Trenholm State Community College,AL,HCTSCC,HCTSCC
Troy University,AL,TU,TU
Tuskegee University,AL,TU,TU
United States Sports University,AL,USSU,USSU
Bevill State Community College,AL,BSCC,BSCC
University of Alaska Anchorage,AK,UAA,UAA
Alaska Bible College,AK,ABC,ABC
University of Alaska Fairbanks,AK,UAF,UAF
University of Alaska Southeast,AK,UAS,UAS
Alaska Pacific University,AK,APU,APU
Alaska Vocational Technical Center,AK,AVTC,AVTC
Charter College,AK,CC,CC
Alaska Career College,AK,ACC,ACC
Empire Beauty School-Tucson,AZ,EBST,EBST
Carrington College-Phoenix North,AZ,CCPN,CCPN
Carrington College-Mesa,AZ,CCM,CCM
Carrington College-Tucson,AZ,CCT,CCT
Miller-Motte College-Arizona Automotive Institute,AZ,MMCAAI,MMCAAI
Brookline College-Phoenix,AZ,BCP,BCP
Arizona State University Campus Immersion,AZ,ASUCI,ASUCI
Arizona Western College,AZ,AWC,AWC
University of Arizona,AZ,UA,UA
Central Arizona College,AZ,CAC,CAC
Charles of Italy Beauty College,AZ,CIBC,CIBC
Cochise County Community College District,AZ,CCCCD,CCCCD
Empire Beauty School-Chandler,AZ,EBSC,EBSC
Avalon Institute-Mesa,AZ,AIM,AIM
Eastern Arizona College,AZ,EAC,EAC
Embry-Riddle Aeronautical University-Prescott,AZ,ERAUP,ERAUP
The School of Architecture,AZ,SA,SA
Glendale Community College,AZ,GCC,GCC
Grand Canyon University,AZ,GCU,GCU
GateWay Community College,AZ,GCC,GCC
Mesa Community College,AZ,MCC,MCC
Mohave Community College,AZ,MCC,MCC
Universal Technical Institute-Phoenix,AZ,UTIP,UTIP
Dine College,AZ,DC,DC
Northern Arizona University,AZ,NAU,NAU
Northland Pioneer College,AZ,NPC,NPC
Phoenix College,AZ,PC,PC
Pima Community College,AZ,PCC,PCC
Pima Medical Institute-Tucson,AZ,PMIT,PMIT
Pima Medical Institute-Albuquerque,NM,PMIA,PMIA
Prescott College,AZ,PC,PC
Refrigeration School Inc,AZ,RSI,RSI
Rio Salado College,AZ,RSC,RSC
Roberto-Venn School of Luthiery,AZ,RVSL,RVSL
Scottsdale Community College,AZ,SCC,SCC
South Mountain Community College,AZ,SMCC,SMCC
Arizona Christian University,AZ,ACU,ACU
Universal Technical Institute of Arizona Inc,AZ,UTIAI,UTIAI
Yavapai College,AZ,YC,YC
University of Arkansas at Little Rock,AR,UALR,UALR
University of Arkansas for Medical Sciences,AR,UAMS,UAMS
Arkansas Baptist College,AR,ABC,ABC
Arkansas Beauty College,AR,ABC,ABC
Lyon College,AR,LC,LC
Arkansas Technical School,AR,ATS,ATS
University of Arkansas,AR,UA,UA
University of Arkansas at Pine Bluff,AR,UAPB,UAPB
Arkansas State University-Beebe,AR,ASUB,ASUB
Arkansas State University,AR,ASU,ASU
Arkansas Tech University,AR,ATU,ATU
University of Arkansas at Monticello,AR,UAM,UAM
Arthur's Beauty College,AR,ABC,ABC
Baptist Health College Little Rock,AR,BHCLR,BHCLR
Black River Technical College,AR,BRTC,BRTC
University of Central Arkansas,AR,UCA,UCA
Central Baptist College,AR,CBC,CBC
Cossatot Community College of the University of Arkansas,AR,CCCUA,CCCUA
Crowley's Ridge College,AR,CRC,CRC
University of Arkansas-East Arkansas Community College,AR,UAEACC,UAEACC
Paul Mitchell the School-Little Rock,AR,PMSLR,PMSLR
National Park College,AR,NPC,NPC
University of Arkansas Community College-Batesville,AR,UACCB,UACCB
Harding University,AR,HU,HU
Henderson State University,AR,HSU,HSU
Hendrix College,AR,HC,HC
Hot Springs Beauty College,AR,HSBC,HSBC
Jefferson Regional School of Nursing,AR,JRSN,JRSN
John Brown University,AR,JBU,JBU
Career Academy of Hair Design,AR,CAHD,CAHD
Academy of Salon and Spa,AR,ASS,ASS
Arkansas State University Mid-South,AR,ASUMS,ASUMS
Arkansas Northeastern College,AR,ANC,ANC
New Tyler Barber College Inc,AR,NTBCI,NTBCI
North Arkansas College,AR,NAC,NAC
Northwest Technical Institute,AR,NTI,NTI
Ouachita Baptist University,AR,OBU,OBU
Arkansas State University Three Rivers,AR,ASUTR,ASUTR
Ozarka College,AR,OC,OC
University of the Ozarks,AR,UO,UO
University of Arkansas Community College-Morrilton,AR,UACCM,UACCM
Philander Smith University,AR,PSU,PSU
Phillips Community College of the University of Arkansas,AR,PCCUA,PCCUA
Southeast Arkansas College,AR,SAC,SAC
University of Aesthetics & Cosmetology,AR,UAC,UAC
University of Arkansas-Pulaski Technical College,AR,UAPTC,UAPTC
University of Arkansas Hope-Texarkana,AR,UAHT,UAHT
University of Arkansas Community College Rich Mountain,AR,UACCRM,UACCRM
Paul Mitchell the School-Arkansas,AR,PMSA,PMSA
Searcy Beauty College,AR,SBC,SBC
Shorter College,AR,SC,SC
Williams Baptist University,AR,WBU,WBU
South Arkansas College,AR,SAC,SAC
Southern Arkansas University Main Campus,AR,SAUMC,SAUMC
Southern Arkansas University Tech,AR,SAUT,SAUT
Velvatex College of Beauty Culture,AR,VCBC,VCBC
University of Arkansas-Fort Smith,AR,UAFS,UAFS
Academy of Art University,CA,AAU,AAU
Academy of Chinese Culture and Health Sciences,CA,ACCHS,ACCHS
College of Alameda,CA,CA,CA
Allan Hancock College,CA,AHC,AHC
Berkeley School of Theology,CA,BST,BST
American Film Institute Conservatory,CA,AFIC,AFIC
American Beauty College,CA,ABC,ABC
American Career College-Los Angeles,CA,ACCLA,ACCLA
American River College,CA,ARC,ARC
Antelope Valley Community College District,CA,AVCCD,AVCCD
Art Center College of Design,CA,ACCD,ACCD
Associated Technical College-Los Angeles,CA,ATCLA,ATCLA
Azusa Pacific University,CA,APU,APU
Bakersfield College,CA,BC,BC
Barstow Community College,CA,BCC,BCC
Bellus Academy-Chula Vista,CA,BACV,BACV
Bethesda University,CA,BU,BU
Biola University,CA,BU,BU
Brownson Technical School,CA,BTS,BTS
Bryan University,AZ,BU,BU
Butte College,CA,BC,BC
California Institute of Integral Studies,CA,CIIS,CIIS
Cabrillo College,CA,CC,CC
California Baptist University,CA,CBU,CBU
California College of the Arts,CA,CCA,CCA
University of California College of the Law-San Francisco,CA,UCCLSF,UCCLSF
California Institute of Technology,CA,CIT,CIT
California Lutheran University,CA,CLU,CLU
California Polytechnic State University-San Luis Obispo,CA,CPSUSLO,CPSUSLO
Alliant International University-San Diego,CA,AIUSD,AIUSD
California State University-Bakersfield,CA,CSUB,CSUB
California State University-Stanislaus,CA,CSUS,CSUS
California State University-San Bernardino,CA,CSUSB,CSUSB
California State Polytechnic University-Pomona,CA,CSPUP,CSPUP
California State University-Chico,CA,CSUC,CSUC
California State University-Dominguez Hills,CA,CSUDH,CSUDH
California State University-Fresno,CA,CSUF,CSUF
California State University-Fullerton,CA,CSUF,CSUF
California State University-East Bay,CA,CSUEB,CSUEB
California State University-Long Beach,CA,CSULB,CSULB
California State University-Los Angeles,CA,CSULA,CSULA
California State University-Northridge,CA,CSUN,CSUN
California State University-Sacramento,CA,CSUS,CSUS
University of California-Berkeley,CA,UCB,UCB
University of California-Davis,CA,UCD,UCD
University of California-Irvine,CA,UCI,UCI
University of California-Los Angeles,CA,UCLA,UCLA
University of California-Riverside,CA,UCR,UCR
University of California-San Diego,CA,UCSD,UCSD
University of California-San Francisco,CA,UCSF,UCSF
University of California-Santa Barbara,CA,UCSB,UCSB
University of California-Santa Cruz,CA,UCSC,UCSC
Sofia University,CA,SU,SU
California Beauty College,CA,CBC,CBC
Haven University,CA,HU,HU
California Hair Design Academy,CA,CHDA,CHDA
California Institute of the Arts,CA,CIA,CIA
Cal Poly Maritime Academy,CA,CPMA,CPMA
California Western School of Law,CA,CWSL,CWSL
Canada College,CA,CC,CC
College of the Canyons,CA,CC,CC
Career Academy of Beauty,CA,CAB,CAB
Casa Loma College-Los Angeles,CA,CLCLA,CLCLA
