name,state
New York University,NY
Columbia University,NY
Cornell University,NY
Fordham University,NY
The New School,NY
Massachusetts Institute of Technology,MA
Harvard University,MA
Boston University,MA
Northeastern University,MA
University of Pennsylvania,PA
Drexel University,PA
Temple University,PA
University of Michigan,MI
Michigan State University,MI
University of Chicago,IL
Northwestern University,IL
University of California-Los Angeles,CA
University of California-Berkeley,CA
Stanford University,CA
University of Southern California,CA
